theme,score
work great,0.01689900568178553
sd card,0.01673527736513572
memory card,0.01613811213191189
samsung galaxy,0.012449554200536945
micro sd,0.009586554028044054
card work,0.008222640331576759
galaxy note,0.007944343868196603
great price,0.0066749405473498944
micro sd card,0.006485264374485878
work fine,0.0063039286622203275
gb card,0.005772624573118111
microsd card,0.005636927737083634
work perfectly,0.005508939723066548
good price,0.004666128125130164
gopro hero,0.004649298735104149
samsung galaxy note,0.004235685472125002
transfer speed,0.004147081437714193
galaxy tab,0.0038630431523491906
cell phone,0.0037764369497615418
highly recommend,0.00376351053314852
