theme,score
sd card,0.03231899862392051
memory card,0.02454575077641262
gb card,0.020333414317558137
samsung galaxy,0.014910679205585458
galaxy note,0.013324099440600215
microsd card,0.013205409744075943
micro sd,0.012476264359783181
write speed,0.012226566707998925
stopped working,0.009397970567770881
micro sd card,0.0092987883854896
card phone,0.009283153616334975
worked fine,0.009153912252003987
card work,0.0086281440113303
dont know,0.007889647507178332
speed mb,0.007602499001001411
class card,0.007287005791834936
format card,0.007202588142168296
android phone,0.007106409501710855
card worked,0.007057659960251539
sandisk ultra,0.007035989894449173
