theme,score
work great,0.01752570625766784
memory card,0.01647718535176475
sd card,0.016415224009472252
samsung galaxy,0.012646894982703709
micro sd,0.009766354237603967
card work,0.008388140138573889
galaxy note,0.008049381748801168
great price,0.006926234627266601
work fine,0.006548660464756136
micro sd card,0.0065009929673242655
work perfectly,0.005718183552125655
microsd card,0.005425140390750173
gb card,0.005138143179869436
good price,0.004915835270576441
gopro hero,0.004748487782618676
transfer speed,0.004316536278509037
samsung galaxy note,0.004259941501364381
galaxy tab,0.003925360593014092
cell phone,0.00391431000219832
highly recommend,0.0038579031081036773
